OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
PZ-15-39,15-0209LC,050-003295,4340 - 4344 LYMAN DR,Karaoke Warehouse,4342 Lyman Dr,Conditional use - place of worship,B-4,08/13/2015,n/a
PZ-15-40,15-0210LC,050-000465,5398 SCIOTO DARBY RD,Dee Miller State Farm Insurance,5398 Scioto Darby Rd,Sign variance - ground sign,B-1,08/13/2015,n/a
PZ-15-41,15-0211LC,050-002984,4500 SUTPHEN CT,Sutphen Towers Inc.,4500 Sutphen Ct,Sign variance - internal illumination,M-1,09/10/2015,n/a
PZ-15-42,15-0212LR,053-000024,,A.R. Building Co.,Heritage Preserve Subarea B,PUD final development plan modification - building elevations,PUD (Heritage Preserve),09/10/2015,n/a
PZ-15-43,15-0213LC,050-010487,4083 - 4093 TRUEMAN BL,Grandad's Pizza and Pub,4093 Trueman Blvd,Sign variance - wall signs & ground sign,PUD (Soma),09/10/2015,n/a
PZ-15-44,15-0214LC,050-001328,5001 CEMETERY RD,Movement Church,5001 Cemetery Rd,Sign variance - setback & masonry base,B-3,10/08/2015,n/a
PZ-15-45,15-0215LR,050-006545,4949 EDWARDS FARMS RD,"Vision Development, Inc. (The Pointe)",4178 Davidson Rd,PUD Final Development Plan,PUD (Vision Development),09/10/2015,n/a
PZ-15-46,15-0216LC,050-007273,3831 PARK MILL RUN DR,Hilliard Suites,3831 Park Mill Run Dr,Sign variance - temporary signs,PUD (Mill Run),10/08/2015,n/a
PZ-15-47,15-0217LC,,,Orange Theory Fitness,3959 Britton Pkwy,Sign variance - window signage,PUD (First Industrial LP property),Denied 11/12/15,n/a
PZ-15-48,15-0218LR,050-009101 053-000003 050-010627 050-008207 050-005625,6594 SCIOTO DARBY RD; 6500 SCIOTO DARBY RD,The Square at Latham Park,"6500, 6584 & 6594 Scioto Darby Rd",12-month extension of Final Development Plan,PUD (The Square at Latham Park),10/08/2015,n/a
PZ-15-49,15-0219LC,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-15-50,15-0220LC,050-003335,4770 NORTHWEST PW,Hamilton Safe Products Company,4770 Northwest Pkwy,"Level ""A"" site plan",M-1,9/14/15 by staff,n/a
PZ-15-52,15-0221LC,050-002992,4389 - 4445 N WEAVER CT,"AHW, LLC property (former FedEx site)",4445 Weaver Court North,Conditional use - health and fitness facility & Level B site plan minor changes,M-1,10/08/2015,n/a
PZ-15-51,15-0222LC,050-010749,Not Found,Hickory Chase (Erickson),4510 Hickory Chase Way,Final Plat,PUD (Ansmil),11/12/2015,1/25/16 (16-R-08)
PZ-15-53,15-0223LC,050-004080,3455 MILL RUN DR,Care Source (One Mill Run),3455 Mill Run Dr,Sign variance - wall sign,PUD (Mill Run),11/12/2015,n/a
PZ-15-54,15-0224LC,050-002927 050-002928,2893 HILLIARD & ROME RD; HILLIARD & ROME RD,Stout property,2893 Hilliard Rome Rd,Rezoning to B-3 with Limited Overlay to permit office only,R-3,11/12/2015,1/25/16 (Ord. 15-58)
PZ-15-55,15-0225LC,050-011226,3737 PARKWAY LN,SRS Mechanical,3737 Parkway Ln,"Level ""B"" site plan minor changes",M-1,11/12/2015,n/a
PZ-15-56,15-0226LC,050-002425,4567 CEMETERY RD,No. 1 Gyro Shoppe,4567 Cemetery Rd,"Amended PUD Concept Plan and Level ""B"" site plan",PUD (Cemetery Road Properties Between Leap & Lacon Roads),11/12/2015,1/11/16 (15-R-85)
PZ-15-57,15-0227LC,050-000945 050-000225,3750 MAIN ST; 3760 MAIN ST,Speedway,3760 Main St,Sign variance - internal illumination for gas prices,B-2,11/12/2015,n/a
PZ-15-58,15-0228LC,050-000183,5344 CENTER RD,Otie's Tavern & Grill,5344 Center St,Old Hilliard District Plan,OH-MD,01/14/2016,n/a
PZ-15-59,15-0229LC,n/a,,Capital Improvements Program (2016-2020),n/a,Capital Improvements Program (2016-2020),n/a,11/12/2015,n/a
PZ-15-60,15-0230LC,050-000247,CEMETERY RD,Hilliard Veterinary Hospital,5125 Cemetery Rd,"Level ""B"" site plan",B-1,12/10/2015,n/a
