OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
PZ-22-61,PZ-22-61,050-009383,3690 - 3720 LACON RD,"Dyenomite, Ares, et al",3700-3720 Lacon Rd,Sign variance - height & area,M-1,11/10/2022,n/a
PZ-22-62,PZ-22-62,050-002800 050-003002 050-002343,5032 SCIOTO DARBY RD; 5000 SCIOTO DARBY RD; 4990 SCIOTO DARBY RD,Miller Pipeline,5000 Scioto Darby Rd,Sign variance - setback,B-2,12/08/2022,n/a
PZ-22-63,PZ-22-63,050-006467,3401 MILL RUN DR,Eco Park (Entrotech property),3401 Mill Run Dr,PUD Final Development Plan,PUD (Mill Run),11/10/2022,n/a
PZ-22-64,PZ-22-64,050-003043,4530 GENEROSITY WY,Truepointe,"West side of Trueman Blvd approximately 1,500 feet south of Davidson Rd","PUD Final Development Plan (359 dwelling units, 2 parking garageswith 1,324 total spaces, 114,000 sf office building)",PUD (Soma Company),11/10/2022 [North Garage screen/signs 4/11/24]; [SouthGarage screen/signs 7/11/2024],n/a
PZ-22-65,PZ-22-65,050-000950,4227 AVERY RD,The Paint Shop Nail Studio,4227 Avery Rd Suite A,Sign variance - colors,B-1,11/10/2022,n/a
PZ-22-66,PZ-22-66,050-000188 050-000084,4055 MAIN ST,Shoppes by Westwood,4055 Main St,"Sign variance - wall signs, projecting signs & A-frame signs",OH-MD,12/08/2022,n/a
PZ-22-67,PZ-22-67,050-000512 050-000761 050-000762 050-000763 050-000764,3576 HEYWOOD DR; 4334 ALDER DR; 4330 ALDER DR; 4322 ALDER DR; 4310 ALDER DR,Hilliard Recreation & Wellness Center PUD Concept Plan,South side of Scioto Darby Rd & East side of Alton Darby Rd,PUD Concept Plan (Rezoning),PUD (Hilliard Recreation & Wellness Center) formerly Alton Commons plan,01/12/2023,2/13/2023 (23-R-06)
PZ-22-68,PZ-22-68,050-000321,5190 NORWICH ST,Kimes residence,5190 Norwich St,Old Hilliard District Plan - building addition,OH-RD,12/08/2022,n/a
PZ-22-69,PZ-22-69,050-011708,MEADOWSVIEW LN,Tarlton Meadows Reserve Landscape Plan,West side of Meadowsview Ln,Landscape Plan for reserve,PUD (Tarlton Meadows),04/13/2023,n/a
PZ-22-70,PZ-22-70,050-007274,3641 - 3681 FISHINGER BL,First Merchants Bank ATM,3649 Fishinger Blvd,PUD Final Development Plan,PUD (Mill Run),01/12/2023,n/a
PZ-22-71,PZ-22-71,050-007563,3880 BROWN PARK DR,Moo Moo Express Car Wash,3880 Brown Park Dr,"Sign variance - wall signs, internal illumination (directional signs & menu signs), colors",B-2,01/12/2023,n/a
PZ-22-72,PZ-22-72,050-002994,4402 WEAVER CT NORTH,Granite Inliner,4350 Weaver Court North,Lot split/deed transfer,M-1,01/12/2023,n/a
PZ-22-73,PZ-22-73,050-011430,4451 MAGNOLIA WAY EAST,Greenwich Investors LLC property,1 Hickory Chase Way (southeast portion of Ansmil PUD Subarea E1),PUD modification,PUD (Ansmil),02/09/2023,2/27/2023 (23-R-13)
PZ-23-1,PZ-23-1,050-002367,3363 LEAP RD,3C Technology Soutions property,3363 Leap Rd,Lot split/deed transfer,R-2,02/09/2023,n/a
PZ-23-2,PZ-23-2,050-007274,3641 - 3681 FISHINGER BL,Aquarium Adventure,3649 Fishinger Blvd,Sign variance - window signage,PUD (Mill Run),04/13/2023,n/a
PZ-23-3,PZ-23-3,050-004914,3810 LACON RD,Star Columbus Transportation,3810 Lacon Rd,"Conditional use - truck repair & Level ""B"" Site Plan",M-1,06/08/2023,6/26/2023 (23-R-51)
PZ-23-4,PZ-23-4,n/a,,Hilliard Comprehensive Plan,n/a,Comprehensive Plan Adoption,n/a,03/09/2023,4/24/2023 (23-R-28)
PZ-23-5,P'Z-23-5,050-010603,5408 EAST VUE DR,Upper Vue Flats,5408 Vue Pointe Dr,Sign variance - Comprehensive signage plan - ground signs and directional signs,PUD (Britton Central),03/09/2023,n/a
PZ-23-6,PZ-23-6,050-003180,5075 BRITTON RD,Little Learners Prep Academy,5075 Britton Pkwy,Sign variance - nonconforming ground sign,PUD (Britton Farms),Withdrawn,n/a
PZ-23-7,PZ-23-7,050-000136,4142 - 4144 MAIN ST,DiCarlo's Pizza,4142 Main St,Sign variance - colors,OH-MD,VOID - Sign meets Code,n/a
PZ-23-8,PZ-23-8,050-002969,3201 HILLIARD & ROME RD,Marrakesh Market,3193 Hilliard Rome Rd,Sign variance - window signage,B-2,05/08/2023,n/a
,PLAT-23-3,050-011790,4702 COSGRAY RD,Parkview Reserve,4702 Cosgray Rd,Final Plat (3 lots),PUD (Parkview Reserve),VOID,VOID
PZ-23-9,PZ-23-9,050-000363,3975 - 3975 MAIN ST,Local Cantina,3975 Main St,Old Hilliard District Plan,OH-MD,04/13/2023,n/a
PZ-23-10,PZ-23-10,050-002994,4402 WEAVER CT NORTH,Weaver Flex Park,4350 Weaver Ct North,"Level ""B"" Site Plan",M-1,04/13/2023,n/a
PZ-23-11,PZ-23-11,050-000170 050-000171 050-000343,5435 FRANKLIN ST,The Westwood Collective Winery,4071 Grant St (5435 Franklin St),"Old Hilliard District Plan, conditional use - winery",OH-MD,04/13/2023,5/8/2023 (23-R-34)
PZ-23-12,PZ-23-12,050-000188,4055 MAIN ST,Old Hilliard Mercantile,5303 Norwich (4055 Main St),Conditional use - indoor commercial recreation,OH-MD,04/13/2023,5/8/2023 (23-R-33)
PZ-23-13,PZ-23-13,050-011790,4702 COSGRAY RD,Parkview Reserve,4702 Cosgray Rd,Lot split/deed transfer/Final Development Plan (4 lots),PUD (Parkview Reserve),04/13/2023,n/a
PZ-23-14,PZ-23-14,050-002812 050-002862,3637 LACON RD; 4510 EDGEWYN AVE,3637 Lac Property LLC property,3637 Lacon Rd,Conditional use - outdoor storage,M-1,05/11/2023,5/22/2023 (23-R-41)
PZ-23-15,PZ-23-15,050-010512 050-010761 050-010763 050-010764,3993 COSGRAY RD; 3680 COSGRAY RD,Hilliard Recreation & Wellness Campus athletic fields,6287 Cosgray Road,Conditional use - athletic fields,PUD (Hilliard Recreation & Wellness Center),05/11/2023,5/22/2023 (23-R-40)
PZ-23-16,PZ-23-16,050-002266,4000 PARKWAY LN,Dunlap Holdings LLC property (Resolute Lacrosse),4000 Parkway Ln,Conditional use - indoor commercial recreation,B-4,05/11/2023,5/22/2023 (23-R-42)
PZ-23-17,PZ-23-17,050-011463 050-011462,5224 - 5260 FRANKLIN ST; 5263 FRANKLIN ST,Landmark Lofts,5228 Cemetery Rd,Site lighting plan and landscape plan revisions,PUD (Landmark Lofts),05/11/2023,n/a
PZ-23-18,PZ-23-18,050-007563,3880 BROWN PARK DR,Moo Moo Express Car Wash,3880 Brown Park Dr,"Sign variance - wall signs, directional signs, drive thru signs",B-2,06/08/2023,n/a
PZ-23-19,PZ-23-19,050-008256,4674 BRITTON PW,ADS (Advanced Drainage Systems),4381 Davidson Rd (Raindrop Way),PUD modification - screening and fencing,PUD (Ansmil),06/08/2023,6/26/2023 (23-R-50)
PZ-23-20,PZ-23-20,050-000136,4142 - 4144 MAIN ST,Sunoco gas station,4144 Main St,Other application - parking lot curbing,OH-MD,06/08/2023,n/a
PZ-23-21,PZ-23-21,053-000276,,Tarlton Meadows West Section 2 Phase 2A,6457 Orangeberry Rd,Final Plat (21 lots),PUD (Tarlton Meadows),07/13/2023,8/28/2023 (23-R-61)
PZ-23-22,PZ-23-22,050-007618,3399 MILL RUN DR,Mill Run Care Center,3399 Mill Run Dr,"PUD Final Development Plan modification (7,165 sf addition)",PUD (Mill Run),07/13/2023,n/a
PZ-23-23,PZ-23-23,050-004025,Not Found,Reynolds Investment Properties LLC property,4400 Reynolds Dr,"Level ""B"" Site Plan",L-M-1,07/13/2023,n/a
PZ-23-24,PZ-23-24,050-002871,4731 - 4751 NORTHWEST PW,Hilliard Christian Assembly,4751 Northwest Pkwy,Conditional use - place of worship,M-1,VOID,VOID
PZ-23-25,PZ-23-25,053-000006 053-000616,,Alton Place Section 1 Phase 2,Northeast corner of Bridgeview Trace & Sycamore Trace & northwest corner of Lakeside Pl & Sycamore Trace,Final Plat (7 lots),HCD (Alton Place),07/13/2023,8/28/2023 (23-R-62)
PZ-23-26,PZ-23-26,053-000716,,Hill Farm Section 4,West side of Elliott Rd approximately 900 feet north of Scioto Darby Rd,Final Plat (30 lots),HCD (Hill Farm),08/10/2023,8/28/2023 (23-R-63)
PZ-23-27,PZ-23-27,053-000322 053-000716,,Hill Farm Section 3 Phase 2,"Approximately 700 feet north of Scioto Darby Rd & 1,200 feet west of Elliott Rd",Final Plat (41 lots),HCD (Hill Farm),08/10/2023,8/28/2023 (23-R-64)
PZ-23-28,PZ-23-28,050-004001,3906 - 3914 BROWN PARK RD,Educational Apparel,3914 Brown Park Dr,Sign variance - ground sign,B-2,08/10/2023,n/a
PZ-23-29,PZ-23-29,n/a,,Zoning Code Amendment,n/a,Zoning Code amendment - Hilliard Conservation District,n/a,08/10/2023,10/23/2023 (Ord. 23-17)
PZ-23-30,PZ-23-30,050-000191 050-000109,3840 MAIN ST; 3860 MAIN ST,Urgent Care,5840 Main St,Sign variance - wall sign,B-1,08/10/2023,n/a
PZ-23-31,PZ-23-31,050-001326,3670 LACON RD,Eramo & Sons,3670 Lacon Rd,Conditional use - outdoor storage,M-1,09/14/2023,10/9/2023 (23-R-82)
PZ-23-32,PZ-23-32,City of Hilliard,,Short-term rental update - Zoning Code amendment,n/a,Short term rental update (Ord. 22-18),n/a,08/10/2023,7/11/2022 (Ord. 22-18)
PZ-23-33,PZ-23-33,050-007239,3665 PARKMILL RUN DR,Dave & Buster's,3665 Park Mill Run Dr,Sign variance - wall signs,PUD (Mill Run),09/14/2023,n/a
PZ-23-34,PZ-23-34,050-003176,4050 BRITTON PW,MedVet,3176 All Seasons Dr,PUD Final Development Plan & Sign variance,PUD (Innsight Hospitality),09/14/2023,n/a
PZ-23-35,PZ-23-35,050-011430,4451 MAGNOLIA WAY EAST,Hickory Chase Homestead Development,Ansmil PUD Subarea E1 (Hickory Chase),PUD Final Development Plan (288 apts),PUD (Ansmil),10/12/2023,n/a
PZ-23-36,PZ-23-36,050-003299,4555 LYMAN DR,Foresee Power,4555 Lyman Dr,Sign variance - wall sign & internal illumination,B-4,09/14/2023,n/a
PZ-23-37,PZ-23-37,050-011714,6558 SCIOTO DARBY RD,KL Petroleum Inc. (Hilliard Grab 'n Go),6558 Scioto Darby Rd,Landscape Plan modification,PUD (Square at Latham Park),10/12/2023,n/a
PZ-23-38,PZ-23-38,050-002992,4389 - 4445 N WEAVER CT,Igoe property,4411 Weaver Ct North,"Level ""A"" Site Plan",M-1,11/01/2023,n/a
PZ-23-39,PZ-23-39,050-009383,3690 - 3720 LACON RD,Leibrand Brown Campbell LTD property,3700 Lacon Rd,Conditional use - outdoor storage,M-1,10/12/2023,11/13/2023 (23-R-93)
PZ-23-40,PZ-23-40,City of Hilliard,,Backyard bees & chickens update - Zoning Code amendment,n/a,Backyard bees & chickens (Ord. 22-27),n/a,10/12/2023,11/13/2023 (Ord. 22-27)
PZ-23-41,PZ-23-41,050-002859,3690 LACON RD,GTS Real Estate Venture LLC property (Trueline Logistics),3690 Lacon Rd,Conditional use - outdoor storage,M-1,06/12/2025,7/14/2025 (25-R-57)
PZ-23-42,PZ-23-42,050-011461,4510 HICKORY CHASE WY,Hickory Chase Titleholder LLC property (Verena),4656 Buckeye Ave North,Sign variance,PUD (Ansmil),11/09/2023,n/a
PZ-23-43,PZ-23-43,050-008257,Not Found,Leap Road townhouses (Townhomes at Hilliard),4655 Leap Rd,PUD modificatin & PUD Final Development Plan,PUD (Ansmil),12/14/2023,2/12//24 (24-R-10)
PZ-23-44,PZ-23-44,050-006545,4949 EDWARDS FARMS RD,CLOP Hilliard OH LLC property,4861 Edwards Farms Rd,"Level ""B"" Site Plan",B-3,11/09/2023,n/a
PZ-23-45,PZ-23-45,050-002806,4120 SCIOTO DARBY CRK,Amazon Data Center / AEP substation,4180 Scioto Darby Rd,Lot split,M-1,11/09/2023,n/a
PZ-23-46,PZ-23-46,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-23-47,PZ-23-47,050-007350,3861 PARK MILL RUN,Moon Pizza food trailer,3861 Park Mill Run Dr,Site plan modification for a permanent food trailer,PUD (Mill Run),12/14/2023,n/a
PZ-23-48,PZ-23-48,050-004798,5522 N CENTER ST,9 Trees,5522 Center St Suite A,Other application - Exterior building materials,OH-RD,12/14/2023,n/a
PZ-23-49,PZ-23-49,050-003206,4595 TRUEMAN BL,"Jackson Real Estate & Development, LLC property",4595 Trueman Blvd,"PUD Final Development Plan / Level ""B"" Site Plan",PUD (Soma Company) & B-3,12/14/2023,n/a
PZ-23-50,PZ-23-50,050-008255,ANSON DR,Ansmil LP property,"East side of Britton Pkwy approximately 1,000 feet north of Anson Dr",Lot split / deed transfer,PUD (Ansmil),12/14/2023,n/a
PZ-23-51,PZ-23-51,050-003024,5677 SCIOTO DARBY RD,Sunrise Academy High School,5677 Scioto Darby Rd,Conditional use - private school,S-1,01/11/2024,2/12/2024 j (24-R-11)
PZ-23-52,PZ-23-52,050-003202,4636 - 4640 CEMETARY RD,Carriage House Express Wash,4640 Cemetery Rd,Sign variance - internal illumination & excess ground signs,B-2,12/14/2023,n/a
PZ-23-53,PZ-23-53,050-003043,4530 GENEROSITY WY,TruePointe apartments,4457 Trueman Blvd,PUD final development plan modification - building elevations,PUD (Soma Company),Withdrawn,n/a
PZ-23-54,PZ-23-54,050-011893,Not Found,Norwich Township Fire Station,3858 Alton Darby Rd,PUD modification & PUD final development plan,PUD (Hilliard Recreation & Wellness Center),12/14/2023,1/22/24 (24-R-05
PZ-23-55,PZ-23-55,050-002824,4445 CEMETERY RD,Colorado Mountain Sports,4445 Cemetery Rd,Sign variance - sign above roof,PUD (Cemetery Road Properties Located Between Leap & Lacon Roads),06/13/2024,n/a
PZ-23-56,PZ-23-56,City of Hilliard,,Backyard bees & chickens update - Zoning Code amendment,n/a,Zoning Code Chapters 505 & 1121,n/a,01/11/2024,2/26/2024 (Ord. 24-03)
PZ-23-57,PZ-23-57,050-003221,4200 PARKWAY CT,RDP Foodservice,4200 Parkway Ct,"Level ""B"" Site Plan",M-1,01/11/2024,n/a
PZ-23-58,PZ-23-58,053-000614,,Alton Place Commercial,6700 Roberts Rd,HCD Text Modification & HCD Final Development Plan,HCD (Alton Place),01/11/2024,6/24/2024 (24-R-58)
PZ-23-59,PZ-23-59,050-007624,4311 - 4345 COSGRAY RD,AJWA Coffee,4311 Cosgray Rd,Conditional use - drive-thru,PUD (Hoffman Farms),01/11/2024,2/12/24 (24-R-12)
PZ-23-60,PZ-23-60,050-000328,5426 MADISON ST,Daniel residence,5426-5428 Madison St,Old Hilliard District Plan,OH-MD,01/11/2024,n/a
PZ-24-1,PZ-24-1,050-003028,BRITTON PW,814 Services LLC property Daycare,Northwest corner of Davidson Rd & Britton Pkwy,PUD Final Development Plan,PUD (Britton Farms),03/14/2024,n/a
PZ-24-2,PZ-24-2,053-000006 053-000616 053-000685,,Alton Place Section 1 Phase 3,North of Roberts Rd & West of Alton Darby Rd,Final Plat (21 lots),HCD (Alton Place),04/11/2024,5/13/2024 (24-R-35)
PZ-24-3,PZ-24-3,City of Hilliard,,Zoning Code Amendment,n/a,Zoning Code Section 1115.02 and Section 1123.18 [Health & Fitness Centers in Old Hilliard Districts],n/a,02/08/2024,3/25/2024 (24-06)
PZ-24-4,PZ-24-4,050-000542,3544 MAIN ST,Daylight Insurance,3544 Main St,Sign variance - ground sign,B-3,03/14/2024,n/a
PZ-24-5,PZ-24-5,City of Hilliard,,P&Z Rules of Operation,n/a,P&Z Rules of Operation,n/a,02/08/2024,n/a
PZ-24-6,PZ-24-6,050-000073 050-000074 050-000072 050-000071,5232 NORWICH ST; GROVE ST; 5222 NORWICH ST,Old Hilliard LTD properties,5232 Norwich St,Conditional use - personal services (massage therapist & aesthetician),OH-RD,03/14/2024,4/9/2024 (24-R-28) (24-R-29)
PZ-24-7,PZ-24-7,050-011249,4266 CEMETERY RD,Motley 7 Brew,4266 Cemetery Rd,PUD Final Development Plan & Sign variance,PUD (Britton/Lyman Redevelopment),03/14/2024,n/a
PZ-24-8,PZ-24-8,050-002881,3650 PARKWAY DR,Indoor Soccer Facility,3650 Parkway Ln,Conditional use - health and fitness facility,M-1,Application Rejected,n/a
PZ-24-9,PZ-24-9,053-000716,,Hill Farm Section 2,7112 Scioto Darby Rd,HCD Final Development Plan,HCD (Hill Farm),04/11/2024,n/a
PZ-24-10,PZ-24-10,050-006068 050-006061,5078 WAYCROFT CT; 5093 BRECKENHURST DR,Boyuk and Bell properties,5078 Waycroft Ct & 5093 Breckenhurst Dr,Lot Split / Deed transfer,PUD (Britton Farms),04/11/2024,n/a
PZ-24-11,PZ-24-11,053-000322 053-000321 120-000335 01-00669.000 (Union Co.),,Hill Farm II,"4427 Elliott Rd; East side of Elliott Rd 3,600 feet north of Scioto Darby Rd; NE corner of Scioto Darby Rd & Langton Rd",HCD rezoning,R-R,02/13/2025,3/24/2025 (Ord. 25-06)
PZ-24-12,PZ-24-12,050-010596,5522 N CENTER ST,Renovo Fitness,5522 Center St,Conditional Use - Health & Fitness Facility,OH-RD,Withdrawn 4/2/24,n/a
PZ-24-13,PZ-24-13,050-008255,ANSON DR,Britton Flex Center (ECO Plumbers),"Britton Parkway - Ansmil PUD Subarea C1b, C3 & C4","PUD Modification, PUD Final Development Plan & Sign variance",PUD (Ansmil),04/11/2024,5/13/2024 (24-R-38)
PZ-24-14,PZ-24-14,050-002288 050-000136,MAIN ST; 4142 - 4144 MAIN ST,Bears Bagels,4142 Main St,Sign variance - wall sign,OH-MD,04/11/2024,n/a
PZ-24-15,PZ-24-15,City of Hilliard,,Zoning Code Amendment,n/a,Zoning Code Section 1111.02 - personal services in B-3,n/a,Denied 4/11/24,Denied 5/13/24
PZ-24-16,PZ-24-16,050-011833,Not Found,ADS (Advanced Drainage Systems),4381 Davidson Rd (Raindrop Way),Sign variance - internal illumination,PUD (Ansmil),04/11/2024,n/a
PZ-24-17,PZ-24-17,050-007828,4345 OAKBURY CT,Hampton Oaks Subdivision entrance,4345 Oakbury Ct,Hampton Oaks subdivision entrance plan,R-3,Withdrawn 4/23/24,n/a
PZ-24-18,PZ-24-18,053-000716 053-000916,,Hill Farm Section 2,"2,400 feet north of Scioto Darby Rd & 1,800 feet west of Elliott Rd",Final Plat (Reserve Area for 60 future condos),HCD (Hill Farm),05/09/2024,5/28/2024 (24-R-42)
PZ-24-19,PZ-24-19,City of Hilliard,,Zoning Code Amendment,n/a,Zoning Code Chapter 1116 - Big Darby Employment District (DE),n/a,06/13/2024,7/8/2024 (Ord. 24-15)
,PZ-24-20,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-24-21,PZ-24-21,053-000614,,Alton Place commercial,6700 Roberts Rd,Lot split / deed transfer,HCD (Alton Place),05/09/2024,n/a
PZ-24-22,PZ-24-22,050-003485,3940 LYMAN DR,LifeWise Academy,3940 Lyman Dr,Conditional use - assembly hall,B-4,Application Rejected,n/a
PZ-24-23,PZ-24-23,050-003211,4199 PARKWAY LN,Chase Bank,4199 Parkway Ln,"Lot split, Level ""B"" Site Plan & Sign variance",B-4,Withdrawn 4/11/24,n/a
PZ-24-24,PZ-24-24,City of Hilliard,,Sign Code Amendment,n/a,Zoning Code Chapter 1129 - Graphics and Sign Code,n/a,05/09/2024,June
PZ-24-25,PZ-24-25,050-001324,4570 EDGEWYN AVE,MAACO,4570 Edgewyn Ave,Conditional use - Vehicle repair major,M-1,06/13/2024,7/8/2024 (24-R-62)
PZ-24-26,PZ-24-26,053-000716,,"Hill Farm Section 3, Phase 1",7112 Scioto Darby Rd,Final Plat (Audubon Ave & Percheron Dr),HCD (Hill Farm),05/09/2024,5/28/2024 (24-R-43)
PZ-24-27,PZ-24-27,050-000361 050-002342,5286 CENTER ST; CENTER ST,Teas Your Spirits,5286 Center St,Old Hilliard District Plan & Sign variance,OH-RD,06/13/2024,n/a
PZ-24-28,PZ-24-28,050-003216,3705 - 3711 PARKWAY LN,SA Comunale,3709 Parkway Ln,Sign variance - ground sign,M-1,08/08/2024,n/a
PZ-24-29,PZ-24-29,050-011833,Not Found,ADS (Advanced Drainage Systems),4381 Davidson Rd,Final Plat,PUD (Ansmil),06/13/2024,6/24/2024 (24-R-53)
PZ-24-30,PZ-24-30,050-002091,4399 CEMETERY RD,Napa Auto Care (Ohio Auto Care),4399 Cemetery Rd,Sign variance - ground sign,M-1,06/13/2024,n/a
PZ-24-31,PZ-24-31,050-003024,5677 SCIOTO DARBY RD,Sunrise Academy High School,5677 Scioto Darby Rd,Conditional use - private school,S-1,06/13/2024,7/8/2024 (24-R-61)
PZ-24-32,PZ-24-32,050-009209,4453 - 4489 CEMETERY RD,Louie's Latino-American Kitchen,4453 Cemetery Rd,Sign variance - wall signs & ground sign,PUD (Cemetery Road Properties Between Leap & Lacon Roads),06/13/2024,n/a
PZ-24-33,PZ-24-33,050-003211,4199 PARKWAY LN,Chase Bank,4199 Parkway Ln,"Level ""B"" Site Plan & Sign variance",B-4,06/13/2024,n/a
PZ-24-34,PZ-24-34,050-007649,3575 MAIN ST,Marathon gas station,3575 Main St,Sign variance - wall signs & ground sign,PUD (Heritage Lakes),Rejected 11/18/2024,n/a
PZ-24-35,PZ-24-35,050-007238,3799 PARK MILL RUN DR,K-9 Resorts,3799 Park Mill Run Dr,PUD Modification,PUD (Mill Run),07/11/2024,8/26/2024 (24-R-72)
PZ-24-36,PZ-24-36,050-002991,4343 N WEAVER CT,U.S. Utility Contractor Co. Inc.,4343 Weaver Ct North,"Level ""A"" Site Plan - Above ground fuel tank",M-1,06/04/2024,n/a
PZ-24-37,PZ-24-37,050-010534,4356 DUBLIN RD,Furey property,4356 Dublin Rd,Lot split / deed transfer,R-1,07/11/2024,n/a
PZ-24-38,PZ-24-38,050-011833,Not Found,ADS (Advanced Drainage Systems),4381 Davidson Rd (Raindrop Way),Sign variance - ground sign & directional signs,PUD (Ansmil),07/11/2024,n/a
PZ-24-39,PZ-24-39,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-24-40,PZ-24-40,050-010214,5550 BRITTON PW,Britton Parkway Holding Inc. property (Former BMW Financial Services),5550 Britton Pkwy,PUD modification - permitted uses,PUD (Britton Central),Withdrawn 7/11/2024,n/a
PZ-24-41,PZ-24-41,050-003485 050-002798,3940 LYMAN DR; 3950 LYMAN DR,LifeWise Academy,3940 Lyman Dr & 3950 Lyman Drive,"Lot split, Level ""B"" Site Plan",B-4,07/11/2024,n/a
PZ-24-42,PZ-24-42,050-002799,4580 CEMETERY RD,Dollar General,4610 Cemetery Rd,Sign variance - colors,B-2,Denied 7/11/2024,n/a
PZ-24-43,PZ-24-43,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-24-44,P'Z-24-44,050-009795,4786 DAVIDSON RD,Red School of Music,4786 Davidson Rd,Conditional use - music training & sign variance - ground sign,R-R,07/11/2024,8/26/2024 (24-R-71)
PZ-24-45,PZ-24-45,050-011461,4510 HICKORY CHASE WY,Verena at Hilliard,4522 Hickory Chase Way,Pickleball court fence,PUD (Ansmil),07/11/2024,n/a
PZ-24-46,PZ-24-46,050-002806,4120 SCIOTO DARBY CRK,Amazon Data Services,4120 Scioto Darby Rd,Revised landscape plan,M-1,08/08/2024,n/a
PZ-24-47,PZ-24-47,050-010214,5550 BRITTON PW,Britton Parkway Holding Inc. property (Former BMW Financial Services),5550 Britton Pkwy,PUD modification - permitted uses,PUD (Britton Central),09/12/2024,Denied 11/12/2024 (24-R-88)
PZ-24-48,PZ-24-48,050-002974,4546 CEMETERY RD,El Sazon de Mi Tia food truck (Marathon gas station),4546 Cemetery Rd,Food truck permanent location,B-2,08/08/2024,n/a
PZ-24-49,PZ-24-49,050-002875,3700 PARKWAY LN,Johnstone Supply,3700 Parkway Ln,Conditional use - wholesale business,M-1,09/12/2024,10/14/2024 (24-R-83)
PZ-24-50,PZ-24-50,050-002838,4100 COLUMBIA ST,Franklin County Fairgrounds,4100 Columbia Street,"Level ""A"" Site Plan",S-1,8/12/2024 by staff,n/a
PZ-24-51,PZ-24-51,050-008257 050-011989,Not Found,Leap Road townhouses (Townhomes at Hilliard),4655 Leap Rd,Final Plat (63 townhouse units),PUD (Ansmil),09/12/2024,10/14/2024 (24-R-78)
PZ-24-52,PZ-24-52,050-007238,3799 PARK MILL RUN DR,K-9 Resorts,3799 Park Mill Run Dr,Final Development Plan,PUD (Mill Run),09/12/2024,n/a
PZ-24-53,PZ-24-53,050-010512,3993 COSGRAY RD,Cosgray Road Extension,6371 Scioto Darby Rd,Final Plat,PUD (Hilliard Recreation & Wellness Center),09/12/2024,9/23/2024 (24-R-74)
PZ-24-54,PZ-24-54,050-006467,3401 MILL RUN DR,Tenby Flex Building,3401 Mill Run Dr,Final Development Plan,PUD (Mill Run),09/12/2024,n/a
PZ-24-55,PZ-24-55 (PZ-25-11),050-008254,4501 DAVIDSON RD,Townes at Davidson,Southeast corner of Davidson Rd & Leap Rd,PUD Modification & PUD Final Development Plan (120 units),PUD (Ansmil),See PZ-25-11 Withdrawn 4/4/2025,n/a
PZ-24-56,PZ-24-56,050-000131 050-000061 050-010538,4057 GRANT ST; GRANT ST,Tortilla Park,4057 Grant St,Old Hilliard District Plan,OH-MD,09/12/2024,n/a
PZ-24-57,PZ-24-57,050-002841,4755 JEANETTE RD,Haridham Hindu Temple,4755 Jeannette Rd,Sign variance - ground sign,R-3,09/12/2024,n/a
PZ-24-58,PZ-24-58,053-000256,,Tarlton Meadows West Section 2 Phase 2B,"Approximately 1,100 feet east of Elliott Road at athe southern terminus of Stanberry Road",Final Plat (27 lots),PUD (Tarlton Meadows),10/10/2024,10/28/2024 (24-R-85)
PZ-24-59,PZ-24-59,050-002888,4077 S WEAVER CT,Mayco Colors,4077 Weaver Court South,"Level ""A"" Site Plan",M-1,9/4/2024 by staff,n/a
PZ-24-60,PZ-24-60,050-002091,4399 CEMETERY RD,Ohio Auto Care,4399 Cemetery Rd,Sign variance - ground sign,M-1,09/12/2024,n/a
PZ-24-61,PZ-24-61,050-003043,4530 GENEROSITY WY,Home 2 Suites Hotel,4530 Generosity Way,PUD Final Development Plan,PUD (Soma Company),10/10/2024,n/a
PZ-24-62,PZ-24-62,050-002408,4708 CEMETERY RD,Sabe A Llano USA LLC food truck (Advance Auto Parts),4708 Cemetery Rd,Food truck permanent location,B-2,10/10/2024,n/a
,PZ-24-63,,,,,,,,
PZ-24-64,pZ-24-64,050-000540,3596 - 3600 MAIN ST,Laveen Home Health,3602 Main St,Sign variance - wall sign,L-B-3,10/10/2024,n/a
PZ-24-65,P'Z-24-65,050-011983,GENEROSITY WY EFG,Truepointe Retail Building E,3997 Truepointe Blvd,Final Development Plan,PUD (Soma Company),11/14/2024,n/a
PZ-24-66,PZ-24-66,050-011984,SCIOTO DARBY CREEK RD,Truepointe Retail Building J,4567 Wathen Dr,Final Development Plan,PUD (Soma Company),11/14/2024,n/a
PZ-24-67,PZ-24-67,050-005767,4440 AVERY RD,Thai Orthodontics VOID,4440 Avery Rd VOID,Sign variance - ground sign,B-3 VOID,VOID,VOID
PZ-24-68,PZ-24-68,050-011534,4621 LYMAN DR,Lighthouse Avionics Inc.,4621 Lyman Dr,Conditional use - wireless communication facilities,B-4,11/14/2024,12/9/2024 (24-R-95)
PZ-24-69,PZ-24-69,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-24-70,PZ-24-70,050-000447,4974 CEMETERY RD,Absolute Yoga,4974 Cemetery Rd,Sign variance - ground sign,B-3,Withdrawn,n/a
